step,value,wall_time,elapsed_min
49,59.983727,1775331524,1.7
99,50.238144,1775331581,2.65
101,49.849052,1775331590,2.8
149,49.481129,1775331641,3.65
199,47.86517,1775331695,4.55
203,47.287857,1775331702,4.66
249,47.813282,1775331748,5.44
299,49.298561,1775331799,6.27
305,49.742153,1775331810,6.46
349,48.105675,1775331855,7.21
399,48.904366,1775331903,8.02
407,51.39505,1775331913,8.18
449,49.469776,1775331954,8.86
499,46.790806,1775332002,9.67
509,48.629971,1775332014,9.86
549,45.263077,1775332052,10.49
